sentiment_analysis.sentiment_volatility,readability_metrics.text_standard,stylistic_analysis.sentence_rhythm.average_change,readability_metrics.dale_chall_readability_score,readability_metrics.smog_index,readability_metrics.difficult_words,stylistic_analysis.linguistic_metrics.sentence_complexity_index,readability_metrics.coleman_liau_index,readability_metrics.automated_readability_index,stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.flesch_kincaid_grade,stylistic_analysis.rhetorical_devices.total_count,stylistic_analysis.sentence_rhythm.std_dev_sentence_length,stylistic_analysis.linguistic_metrics.num_subordinate_clauses,readability_metrics.gunning_fog
1.3455771595357469,4,7.043715846994536,6.55,6.4,134,0.6630434782608695,4.79,3.8,12.168478260869565,2.4,32,6.67913199667689,122,4.65
1.2219522538544527,6,7.944444444444445,6.95,7.3,127,1.201834862385321,7.53,6.6,13.55045871559633,3.8,20,7.8921975516987075,131,6.68
0.8595843913730227,8,10.721893491124261,7.43,9.2,250,1.2352941176470589,9.21,8.8,14.076470588235294,5.5,21,9.04623426257851,210,7.79
1.2768366375009133,10,12.112903225806452,8.37,10.2,276,1.272,10.04,10.7,17.88,7.0,20,11.117843838303505,159,9.99
1.2439812568571103,3,5.594405594405594,7.23,6.8,130,0.6875,5.25,4.0,11.055555555555555,2.4,21,6.28882656378275,99,5.03
1.2705941725140786,5,10.177777777777777,7.44,8.8,199,1.1470588235294117,9.1,8.1,12.977941176470589,5.1,29,9.441803744627915,156,7.55
0.9231022276360014,10,11.112068965517242,7.91,10.4,249,1.4871794871794872,10.73,10.7,16.128205128205128,7.5,15,9.516354762069334,174,9.2
1.152958753048429,8,11.308270676691729,8.4,9.5,261,0.8880597014925373,10.21,10.3,14.738805970149254,7.4,28,11.160435693975508,119,8.92
1.2711148730033546,6,11.55072463768116,7.92,9.7,162,1.2142857142857142,9.68,9.4,18.514285714285716,6.9,17,10.657708453621803,85,8.3
1.2124288538857553,8,11.960526315789474,8.82,11.2,250,1.1688311688311688,11.6,12.1,19.285714285714285,8.5,19,10.70766712866747,90,10.67
0.5196938639703607,8,10.99,8.02,11.2,237,1.3663366336633664,12.24,12.2,17.702970297029704,8.9,14,9.236389505056016,138,9.52
1.3321170482126508,17,18.32857142857143,10.91,14.4,429,1.323943661971831,15.55,17.8,24.43661971830986,12.7,0,16.774753474336023,94,15.1
1.1258332522986598,8,16.35593220338983,8.22,10.2,175,1.8833333333333333,8.54,11.2,26.283333333333335,8.4,23,18.697495224858752,113,11.11
0.8247954024769035,6,8.042016806722689,7.45,8.0,165,1.1833333333333333,7.53,6.5,13.833333333333334,4.7,27,7.417142684500608,142,6.79
0.512243599479709,7,12.896373056994818,6.75,8.4,207,1.2577319587628866,7.25,7.7,15.278350515463918,6.1,37,10.236824989523834,244,7.77
1.2077603379592032,10,16.261363636363637,9.61,12.4,394,1.8089887640449438,11.38,14.8,24.651685393258425,10.8,41,13.504293192432197,161,13.43
1.310670220805928,6,10.05,6.64,8.0,114,1.7407407407407407,6.84,6.9,17.679012345679013,4.8,25,9.533922540714586,141,7.81
1.2888839132014869,7,9.827586206896552,8.15,7.8,166,1.3977272727272727,9.22,8.8,16.397727272727273,5.8,25,8.407084823832202,123,7.62
0.8308833209329031,10,13.330188679245284,8.14,11.1,244,1.2990654205607477,10.79,11.9,17.738317757009344,8.6,23,10.38171146740351,139,10.48
1.1693271471834268,8,16.410958904109588,8.76,10.2,203,1.4594594594594594,9.52,11.8,21.054054054054053,8.1,25,14.065299661663117,108,10.79
1.1075696304010323,4,7.785046728971962,6.36,6.2,89,0.9629629629629629,4.85,4.1,13.314814814814815,3.1,0,7.803244170955704,104,5.26
1.160834709887244,5,9.39344262295082,8.07,8.4,213,0.9349593495934959,9.68,9.2,15.073170731707316,5.5,26,9.007438393984797,115,7.65
0.5150675388582839,7,12.56578947368421,7.91,10.5,302,1.3398692810457515,10.61,11.1,16.986928104575163,7.9,22,10.648070573993413,205,9.58
1.3935706323262516,13,26.688172043010752,9.12,12.8,357,2.2872340425531914,11.15,18.6,28.79787234042553,14.0,29,20.710279919622504,215,15.8
1.2532672303769288,8,15.776470588235295,7.74,8.8,167,1.3604651162790697,8.82,10.2,20.732558139534884,7.0,24,19.473314723490436,117,8.87
1.3132790394983047,8,8.850574712643677,7.44,8.7,148,1.3863636363636365,8.98,8.5,16.238636363636363,5.6,15,8.215480646745709,122,7.61
0.850260613729598,7,14.529411764705882,7.8,10.1,198,1.3592233009708738,10.44,10.9,16.436893203883496,8.1,15,11.94814769704675,140,9.43
1.1397264893661516,9,16.957142857142856,9.66,10.7,269,1.647887323943662,12.07,14.2,24.774647887323944,9.7,34,15.072394049196214,117,11.57
1.3396537957491268,6,10.03960396039604,6.83,6.9,121,1.607843137254902,6.2,6.1,17.176470588235293,4.0,10,11.03855687646569,164,6.5
0.943580269914292,8,13.337078651685394,7.6,9.0,169,1.6888888888888889,8.76,10.1,19.266666666666666,7.4,22,10.936794921093995,152,9.22
0.866245195829042,7,11.84375,7.08,8.1,152,1.317829457364341,7.6,8.2,15.728682170542635,5.2,53,9.33470669228593,170,7.94
1.2347372270764787,8,16.19178082191781,8.64,11.1,257,2.2432432432432434,9.0,14.1,27.5,10.5,19,17.191308731170263,166,13.34
1.3382843448142026,7,20.771929824561404,7.42,8.2,101,1.0862068965517242,7.77,9.1,20.53448275862069,5.6,16,22.42196253929911,63,8.5
1.1912123457466954,7,11.75,7.65,8.0,93,1.2105263157894737,8.81,8.7,16.596491228070175,6.1,16,8.867798182837092,69,7.88
0.8789762311534772,11,12.571428571428571,8.78,10.8,201,1.2823529411764707,12.06,11.7,15.623529411764705,7.4,26,10.005922615878957,109,9.62
1.3630540602860535,8,18.359375,8.32,8.8,137,1.323076923076923,8.82,10.4,19.29230769230769,6.3,43,18.970143545947305,86,9.56
1.2998751253995555,5,6.139344262295082,6.42,6.0,88,0.7073170731707317,6.06,4.6,10.959349593495935,2.2,15,6.049520200435002,87,4.35
1.192387800997451,7,10.901234567901234,7.86,10.0,168,1.1951219512195121,10.15,10.7,18.0609756097561,8.0,0,9.39575365208964,98,9.2
0.6656014410652047,10,12.728070175438596,8.2,10.3,227,1.2173913043478262,10.9,11.4,16.756521739130434,7.9,22,10.126906408652694,140,9.56
1.2425101042263524,8,16.6375,8.67,10.0,219,1.8518518518518519,10.27,12.5,21.271604938271604,8.3,19,13.252369925487868,150,10.86
1.2419641727885444,6,7.895652173913043,6.67,6.5,107,0.896551724137931,6.18,5.1,11.767241379310345,2.7,25,6.969945116895379,104,5.12
