sentiment_analysis.sentiment_volatility,stylistic_analysis.sentence_rhythm.average_change,readability_metrics.difficult_words,readability_metrics.smog_index,readability_metrics.automated_readability_index,stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.flesch_kincaid_grade,stylistic_analysis.linguistic_metrics.sentence_complexity_index,readability_metrics.gunning_fog
1.7339212978966438,19.666666666666668,43,12.5,17.3,31.2,13.2,1.7,15.1
0.8129742302203372,14.72,72,10.3,12.2,24.115384615384617,8.8,1.6153846153846154,11.35
0.9608356562037446,22.964285714285715,116,12.4,15.2,25.482758620689655,11.2,1.3103448275862069,13.62
1.3105398885812547,28.375,103,13.0,15.8,37.11764705882353,12.1,2.0588235294117645,13.52
0.9734401251676279,15.636363636363637,115,13.3,14.8,25.73913043478261,11.0,1.608695652173913,13.84
0.6354614131787841,16.571428571428573,121,12.9,14.2,24.482758620689655,10.7,1.2413793103448276,12.77
0.9218876003878644,9.1875,46,10.3,10.3,18.470588235294116,7.7,0.8823529411764706,9.54
0.9869868562980235,23.08695652173913,107,13.6,16.4,25.833333333333332,12.9,1.7916666666666667,16.04
0.9890636566883364,15.633333333333333,139,13.6,15.7,22.225806451612904,11.9,1.032258064516129,14.68
1.3290614780043815,43.81818181818182,134,19.5,31.7,59.666666666666664,24.4,5.916666666666667,27.14
0.8338636222910814,20.40909090909091,93,13.7,16.3,25.47826086956522,12.2,1.9565217391304348,15.35
1.0124302274754178,24.91304347826087,149,16.7,20.6,27.916666666666668,15.8,2.0833333333333335,18.13
1.2250212789354036,83.28571428571429,91,17.7,28.8,59.125,23.0,5.75,25.54
0.5935546536005883,28.666666666666668,102,13.8,21.9,35.75,17.3,2.0,19.94
0.5939897886048112,16.757575757575758,118,10.9,14.3,22.91176470588235,10.5,1.588235294117647,12.13
1.3540436243279919,14.0,45,13.2,15.3,30.5,12.4,1.75,13.81
0.772691017245349,23.85,105,14.1,17.0,26.714285714285715,14.0,2.1904761904761907,16.58
0.9063745538138303,19.53846153846154,127,14.9,16.7,24.74074074074074,13.4,1.8888888888888888,15.92
1.285672985852353,19.470588235294116,78,10.8,15.6,31.77777777777778,11.2,2.7222222222222223,13.84
1.4394324689680933,16.45,113,14.1,16.9,27.428571428571427,13.3,1.619047619047619,15.95
0.609270403147829,21.2,117,14.6,17.0,28.5,12.7,2.076923076923077,15.92
1.2330118216709143,29.470588235294116,99,12.1,18.2,38.166666666666664,13.4,3.388888888888889,14.9
0.8294229717320984,23.333333333333332,103,13.7,18.2,26.454545454545453,13.4,1.5454545454545454,16.5
1.0538480920037434,17.071428571428573,128,13.5,15.9,23.75862068965517,12.1,1.896551724137931,14.48
1.2252732083542643,27.75,119,14.0,19.2,40.333333333333336,14.0,3.5238095238095237,16.27
1.0087268923584303,23.55,79,12.2,15.7,26.19047619047619,11.4,2.2857142857142856,14.95
0.7339778063529504,13.857142857142858,125,13.0,14.4,24.689655172413794,10.8,2.206896551724138,14.07
1.3730121735270056,21.833333333333332,94,11.2,11.6,24.28,8.3,2.12,10.7
0.46555564374117503,15.590909090909092,96,12.2,15.1,26.869565217391305,11.5,1.7826086956521738,13.9
0.6157704660802797,16.482758620689655,112,12.0,14.9,22.666666666666668,10.8,1.3,13.05
1.3983740041114334,20.454545454545453,25,10.1,12.6,27.666666666666668,8.9,2.75,11.07
0.4828019329176078,31.529411764705884,111,15.9,22.3,33.166666666666664,17.8,1.8888888888888888,20.29
1.0487887744863975,24.32,142,14.5,18.3,27.807692307692307,14.3,1.3461538461538463,16.62
1.2717423291788805,18.5,49,10.9,13.5,32.0,9.8,2.6923076923076925,12.76
0.33867372749471936,23.5,106,15.2,18.7,24.608695652173914,14.2,1.0,16.78
0.9495925163937081,26.791666666666668,121,14.1,18.1,26.8,13.6,1.8,16.79
1.2091062377997026,35.851851851851855,121,11.7,14.8,29.928571428571427,11.3,2.75,13.32
0.8073700709182356,20.52173913043478,91,11.7,15.1,27.833333333333332,10.6,1.9166666666666667,13.32
0.8751325946025016,22.923076923076923,154,15.2,18.2,27.074074074074073,13.6,1.0740740740740742,16.9
1.4006941776643045,28.3125,130,16.1,24.6,48.94117647058823,19.3,3.411764705882353,20.26
1.4001075304848427,27.941176470588236,119,16.2,20.4,30.77777777777778,16.7,1.7222222222222223,18.08
0.860108771779194,22.29032258064516,145,15.3,17.5,22.90625,14.5,0.9375,16.36
1.2375939734698969,34.5,59,15.9,18.8,41.888888888888886,14.9,3.2222222222222223,17.27
1.0314376252653337,29.55,117,14.2,19.4,30.238095238095237,14.5,1.8571428571428572,17.44
1.005184219019858,23.434782608695652,141,13.0,18.1,28.458333333333332,13.2,2.25,16.12
1.4367677356611708,8.86,71,8.6,6.7,12.07843137254902,5.4,0.7058823529411765,6.74
0.6825914760459275,21.25,110,14.4,17.7,28.428571428571427,14.0,1.5714285714285714,16.55
0.4229955474582032,22.3125,119,12.9,16.2,22.424242424242426,13.1,1.2424242424242424,14.4
1.3818089900102786,13.966666666666667,60,11.4,10.1,18.870967741935484,8.4,1.4193548387096775,10.05
0.4808296122587694,17.652173913043477,123,14.1,16.3,24.291666666666668,12.6,1.0,15.48
1.1134140203085996,22.375,160,16.7,20.3,26.68,16.0,1.2,18.95
1.5513444964343128,48.916666666666664,101,15.2,24.2,45.69230769230769,18.3,2.923076923076923,19.69
0.7440090618107248,18.318181818181817,112,13.4,16.6,26.26086956521739,13.0,1.826086956521739,15.13
0.8723761510368736,19.26086956521739,126,14.7,17.5,27.416666666666668,13.3,2.2916666666666665,16.06
1.2756519635550057,27.0,67,16.1,21.3,36.44444444444444,16.4,1.7777777777777777,19.28
0.9895081029453049,18.0,94,12.5,15.5,24.391304347826086,11.5,1.5217391304347827,14.17
0.9307665127052465,15.928571428571429,104,12.9,14.8,21.79310344827586,11.0,1.4482758620689655,14.16
1.043416524459992,41.285714285714285,98,17.4,29.7,61.75,23.4,4.375,25.47
0.011739734244087377,25.73913043478261,111,14.0,18.3,25.0,14.0,1.6666666666666667,16.29
0.9940379334527943,13.481481481481481,140,12.3,15.4,25.142857142857142,12.0,1.6071428571428572,13.81
1.2735622878263786,17.714285714285715,104,11.5,13.3,26.5,11.0,1.5909090909090908,12.31
0.017228757551374582,15.535714285714286,118,13.4,13.8,21.82758620689655,11.5,1.3448275862068966,13.67
0.8642955429379238,22.393939393939394,130,13.9,15.9,22.058823529411764,12.9,1.6470588235294117,14.95
1.4349410898762447,24.6,110,12.4,15.1,30.047619047619047,11.6,2.4285714285714284,14.51
1.0358859078743998,16.307692307692307,90,11.9,13.3,21.185185185185187,10.1,1.5185185185185186,12.96
